카드 제목,속성,레벨,종족,atk,def
A·제넥스 리모트,어둠,레벨 3,[기계족/튜너/효과],공격력 500,수비력 1800
A·제넥스 리바이버,어둠,레벨 5,[기계족/효과],공격력 2200,수비력 1000
A·제넥스 버드맨,어둠,레벨 3,[기계족/튜너/효과],공격력 1400,수비력 400
A·제넥스 벨플레임,어둠,레벨 4,[기계족/효과],공격력 1700,수비력 1000
A·제넥스 볼캐논,어둠,레벨 4,[기계족/효과],공격력 1700,수비력 600
A·제넥스 솔리드,어둠,레벨 2,[기계족/효과],공격력 500,수비력 1200
A·제넥스 체인저,어둠,레벨 3,[기계족/효과],공격력 1200,수비력 1800
A·제넥스 케미스트리,어둠,레벨 2,[기계족/튜너/효과],공격력 200,수비력 500
A·제넥스 크러셔,어둠,레벨 4,[기계족/효과],공격력 1000,수비력 2000
A·제넥스 파워콜,어둠,레벨 4,[기계족/효과],공격력 1700,수비력 0
A·폭탄,어둠,레벨 2,[기계족/효과],공격력 400,수비력 300
A－어썰트 코어,빛,레벨 4,[기계족/유니온/효과],공격력 1900,수비력 200
BF－각야의 존다,어둠,레벨 6,[비행야수족/효과],공격력 2300,수비력 900
BF－격진의 아브로오로스,어둠,레벨 7,[비행야수족/효과],공격력 2600,수비력 1800
BF－극광의 오로라,빛,레벨 10,[비행야수족/특수 소환/효과],공격력 ?,수비력 0
BF－극북의 블리자드,어둠,레벨 2,[비행야수족/튜너/효과],공격력 1300,수비력 0
BF－극야의 다마스카스,어둠,레벨 3,[비행야수족/효과],공격력 1300,수비력 700
BF－남풍의 아우스테르,어둠,레벨 4,[비행야수족/튜너/효과],공격력 1300,수비력 0
BF－농그림자의 고우후우,어둠,레벨 5,[비행야수족/특수 소환/튜너/효과],공격력 0,수비력 0
BF－달그림자의 카르트,어둠,레벨 3,[비행야수족/효과],공격력 1400,수비력 1000
BF－대패의 바유,어둠,레벨 1,[비행야수족/튜너/효과],공격력 800,수비력 0
BF－독풍의 시문,어둠,레벨 6,[비행야수족/효과],공격력 1600,수비력 2000
BF－돌풍의 오로시,어둠,레벨 1,[비행야수족/튜너/효과],공격력 400,수비력 600
BF－두 칼의 에테지아,어둠,레벨 3,[비행야수족/효과],공격력 400,수비력 1600
BF－람사의 샤멀,어둠,레벨 4,[비행야수족/튜너/효과],공격력 1600,수비력 0
BF－모래 먼지의 하르마탄,어둠,레벨 2,[비행야수족/효과],공격력 800,수비력 800
BF－무뢰의 바타,어둠,레벨 2,[비행야수족/튜너/효과],공격력 800,수비력 0
BF－미풍의 브리즈,어둠,레벨 3,[비행야수족/튜너/효과],공격력 1100,수비력 300
BF－방랑자 코가라시,어둠,레벨 6,[비행야수족/튜너/효과],공격력 2300,수비력 1600
BF－백야의 글래디우스,어둠,레벨 3,[비행야수족/효과],공격력 800,수비력 1500
BF－상현의 피나카,어둠,레벨 3,[비행야수족/튜너/효과],공격력 1200,수비력 1000
BF－새벽의 시로코,어둠,레벨 5,[비행야수족/효과],공격력 2000,수비력 900
BF－설격의 치누크,어둠,레벨 2,[비행야수족/효과],공격력 100,수비력 700
BF－쇠사슬의 푄,어둠,레벨 2,[비행야수족/효과],공격력 500,수비력 800
BF－순풍의 아리제,어둠,레벨 5,[비행야수족/효과],공격력 1200,수비력 1800
BF－아지랑이의 컴,어둠,레벨 4,[비행야수족/효과],공격력 600,수비력 1800
BF－여명의 코치,어둠,레벨 4,[비행야수족/튜너/효과],공격력 700,수비력 1500
BF－역권의 토네이도,어둠,레벨 4,[비행야수족/효과],공격력 1000,수비력 1200
BF－역풍의 거스트,어둠,레벨 2,[비행야수족/효과],공격력 900,수비력 1400
BF－열풍의 기브리,어둠,레벨 3,[비행야수족/효과],공격력 0,수비력 1600
BF－은신의 스팀,어둠,레벨 3,[비행야수족/튜너/효과],공격력 800,수비력 1200
BF－은의 방패 미스트랄,어둠,레벨 2,[비행야수족/튜너/효과],공격력 100,수비력 1800
BF－잔야의 크리스,어둠,레벨 4,[비행야수족/효과],공격력 1900,수비력 300
BF－정예의 제피로스,어둠,레벨 4,[비행야수족/효과],공격력 1600,수비력 1000
BF－조풍의 데스,어둠,레벨 4,[비행야수족/튜너/효과],공격력 1000,수비력 1000
BF－질풍의 게일,어둠,레벨 3,[비행야수족/튜너/효과],공격력 1300,수비력 400
BF－창천의 제트,어둠,레벨 1,[비행야수족/효과],공격력 100,수비력 800
BF－첨예의 보라,어둠,레벨 5,[비행야수족/효과],공격력 1300,수비력 900
BF－칠흑의 엘펜,어둠,레벨 6,[비행야수족/효과],공격력 2200,수비력 1200
BF－탱구바람 히렌,어둠,레벨 5,[비행야수족/튜너/효과],공격력 0,수비력 2300
BF－푸른 화염의 슈라,어둠,레벨 4,[비행야수족/효과],공격력 1800,수비력 1200
BF－하현의 사룬가,어둠,레벨 2,[비행야수족/튜너/효과],공격력 500,수비력 500
BF－환상요의 스즈리,어둠,레벨 4,[비행야수족/효과],공격력 1400,수비력 1400
BF－회오리 허리케인,어둠,레벨 1,[비행야수족/튜너/효과],공격력 0,수비력 0
BF－흑창의 블래스트,어둠,레벨 4,[비행야수족/효과],공격력 1700,수비력 800
BK 글라스조,화염,레벨 4,[전사족/효과],공격력 2000,수비력 0
BK 래빗 펀처,화염,레벨 3,[전사족/효과],공격력 800,수비력 1000
BK 리베지 가드너,화염,레벨 3,[전사족/효과],공격력 100,수비력 1400
BK 베일,화염,레벨 4,[전사족/효과],공격력 0,수비력 1800
BK 빅밴티지,화염,레벨 2,[전사족/효과],공격력 1100,수비력 1400
BK 섀도우,화염,레벨 4,[전사족/효과],공격력 1800,수비력 1400
BK 스위치히터,화염,레벨 4,[전사족/효과],공격력 1500,수비력 1400
BK 스파,화염,레벨 4,[전사족/효과],공격력 1200,수비력 1400
BK 카운터블로,화염,레벨 3,[전사족/효과],공격력 0,수비력 1100
BK 헤드기어,화염,레벨 4,[전사족/효과],공격력 1000,수비력 1800
BM－4 폭탄 스파이더,어둠,레벨 4,[기계족/효과],공격력 1400,수비력 2200
BOX서,땅,레벨 4,[전사족/효과],공격력 1800,수비력 1000
B·F－독침의 니들,바람,레벨 2,[곤충족/튜너/효과],공격력 400,수비력 800
B·F－속사의 알바레스트,바람,레벨 4,[곤충족/효과],공격력 1800,수비력 800
B·F－연격의 트윈보우,바람,레벨 3,[곤충족/효과],공격력 1000,수비력 500
B·F－추격의 다트,바람,레벨 1,[곤충족/효과],공격력 100,수비력 100
B·F－필중의 핀,바람,레벨 1,[곤충족/효과],공격력 200,수비력 300
B－버스터 드레이크,빛,레벨 4,[기계족/유니온/효과],공격력 1500,수비력 1800
Couple of Aces,땅,레벨 2,[천사족/효과],공격력 100,수비력 100
C·리페어러,땅,레벨 4,[전사족/효과],공격력 1600,수비력 1200
C·슈터,땅,레벨 2,[전사족/효과],공격력 1100,수비력 0
C·스네이크,땅,레벨 3,[파충류족/효과],공격력 800,수비력 1200
C·코일,땅,레벨 3,[기계족/튜너/효과],공격력 1100,수비력 1600
C전장의 지휘관 코로넬,빛,레벨 4,[전사족/효과],공격력 1400,수비력 1600
C－크러시 와이반,빛,레벨 4,[기계족/유니온/효과],공격력 1200,수비력 2000
D.D. 디스트로이어,땅,레벨 4,[전사족/효과],공격력 1000,수비력 1000
D.D. 크로우,어둠,레벨 1,[비행야수족/효과],공격력 100,수비력 100
D.D.어세일런트,땅,레벨 4,[전사족/효과],공격력 1700,수비력 1600
D3,어둠,레벨 1,[기계족/효과],공격력 0,수비력 0
DD 고스트,어둠,레벨 2,[악마족/튜너/효과],공격력 600,수비력 300
DD 그리폰,어둠,레벨 4,[악마족/펜듈럼/효과],공격력 1200,수비력 1200
DD 나이트 하울링,어둠,레벨 3,[악마족/튜너/효과],공격력 300,수비력 600
DD 네크로 슬라임,어둠,레벨 1,[악마족/효과],공격력 300,수비력 300
DD 도그,어둠,레벨 6,[악마족/펜듈럼/효과],공격력 2000,수비력 2000
DD 라미아,어둠,레벨 1,[악마족/튜너/효과],공격력 100,수비력 1900
DD 릴리스,어둠,레벨 4,[악마족/효과],공격력 100,수비력 2100
DD 마도현자 갈릴레이,어둠,레벨 10,[악마족/펜듈럼/효과],공격력 0,수비력 0
DD 마도현자 뉴턴,어둠,레벨 7,[악마족/펜듈럼/효과],공격력 0,수비력 0
DD 마도현자 니콜라,어둠,레벨 6,[악마족/펜듈럼/효과],공격력 2000,수비력 2000
DD 마도현자 케플러,어둠,레벨 1,[악마족/펜듈럼/효과],공격력 0,수비력 0
DD 마도현자 코페르니쿠스,어둠,레벨 4,[악마족/펜듈럼/효과],공격력 0,수비력 0
DD 마도현자 토마스,어둠,레벨 8,[악마족/펜듈럼/효과],공격력 1800,수비력 2600
DD 바이스 튜폰,어둠,레벨 7,[악마족/효과],공격력 2300,수비력 2800
DD 바포메트,어둠,레벨 4,[악마족/효과],공격력 1400,수비력 1800
DD 스월 슬라임,어둠,레벨 2,[악마족/효과],공격력 200,수비력 200
DD 아크,어둠,레벨 4,[악마족/펜듈럼/효과],공격력 0,수비력 2000
DD 오르트로스,어둠,레벨 4,[악마족/펜듈럼/튜너/효과],공격력 600,수비력 1800
DD 이블,어둠,레벨 4,[악마족/펜듈럼/효과],공격력 2000,수비력 0
DD 케로베로스,어둠,레벨 4,[악마족/펜듈럼/효과],공격력 1800,수비력 600
DD 판도라,어둠,레벨 5,[악마족/효과],공격력 1700,수비력 2100
DD 프라우드 슈발리에,어둠,레벨 5,[악마족/펜듈럼/효과],공격력 2000,수비력 700
DD 프라우드 오우거,어둠,레벨 6,[악마족/펜듈럼/효과],공격력 2300,수비력 1500
DDD 괴치왕 어비스 라그나로크,어둠,레벨 8,[악마족/펜듈럼/효과],공격력 2200,수비력 3000
DDD 극지왕 카오스 어포컬립스,어둠,레벨 7,[악마족/펜듈럼/효과],공격력 2700,수비력 2000
DDD 반골왕 레오니다스,어둠,레벨 7,[악마족/펜듈럼/효과],공격력 2600,수비력 1200
DDD 사구왕 바이스 레퀴엠,어둠,레벨 8,[악마족/펜듈럼/효과],공격력 2800,수비력 2000
DDD 사위왕 헬 아마게돈,어둠,레벨 8,[악마족/펜듈럼/효과],공격력 3000,수비력 1000
DDD 운명의 왕 제로 라플라스,어둠,레벨 10,[악마족/펜듈럼/효과],공격력 ?,수비력 0
DDD 제패왕 카이젤,어둠,레벨 7,[악마족/효과],공격력 2800,수비력 2100
DDD 초시왕 제로 맥스웰,어둠,레벨 7,[악마족/펜듈럼/효과],공격력 2800,수비력 2500
DDD 패룡왕 펜드래곤,어둠,레벨 7,[악마족/효과],공격력 2600,수비력 2400
DDDD 초차원통황 제로 패러독스,어둠,레벨 12,[악마족/특수 소환/펜듈럼/효과],공격력 3000,수비력 3000
DMZ 드래곤,어둠,레벨 4,[드래곤족/효과],공격력 0,수비력 2000
Dr.프랑게,어둠,레벨 3,[사이킥족/효과],공격력 300,수비력 300
DZW－키메라 크로스,어둠,레벨 1,[악마족/효과],공격력 0,수비력 0
D·D·M,빛,레벨 5,[마법사족/효과],공격력 1700,수비력 1500
D·라디온,빛,레벨 4,[번개족/효과],공격력 1000,수비력 900
D·라디카셋,땅,레벨 4,[기계족/효과],공격력 1200,수비력 400
D·라이튼,빛,레벨 1,[기계족/튜너/효과],공격력 200,수비력 200
D·리모콘,땅,레벨 3,[기계족/튜너/효과],공격력 300,수비력 1200
D·마그넨I,땅,레벨 1,[번개족/효과],공격력 100,수비력 100
D·마그넨U,땅,레벨 3,[번개족/효과],공격력 800,수비력 800
D·모바폰,땅,레벨 1,[기계족/효과],공격력 100,수비력 100
D·보든,땅,레벨 3,[기계족/효과],공격력 500,수비력 1800
D·비디온,빛,레벨 4,[기계족/효과],공격력 1000,수비력 1000
D·스마폰,땅,레벨 1,[기계족/특수 소환/튜너/효과],공격력 100,수비력 100
D·스캐넌,땅,레벨 6,[기계족/특수 소환/튜너/효과],공격력 1500,수비력 600
D·스코픈,빛,레벨 3,[기계족/튜너/효과],공격력 800,수비력 1400
D·스태플랜,땅,레벨 4,[기계족/효과],공격력 1400,수비력 1000
D·카메란,빛,레벨 2,[기계족/효과],공격력 800,수비력 600
D·크리넌,바람,레벨 1,[기계족/효과],공격력 0,수비력 0
D·클락큰,땅,레벨 2,[기계족/효과],공격력 600,수비력 1100
D·텔레폰,땅,레벨 1,[기계족/튜너/효과],공격력 100,수비력 100
D·토치,화염,레벨 3,[화염족/효과],공격력 1200,수비력 600
D·팟틴,바람,레벨 4,[기계족/효과],공격력 1200,수비력 800
D－보이즈,어둠,레벨 1,[악마족/리버스/효과],공격력 100,수비력 1000
EM 고무고무튼,땅,레벨 5,[야수족/펜듈럼/효과],공격력 900,수비력 2400
EM 골드 팽,빛,레벨 4,[야수족/펜듈럼/효과],공격력 1800,수비력 700
EM 그네코브라,땅,레벨 4,[파충류족/펜듈럼/효과],공격력 300,수비력 1800
EM 기터틀,물,레벨 1,[물족/펜듈럼/효과],공격력 300,수비력 400
EM 깜짝 깨구리,물,레벨 2,[물족/펜듈럼/효과],공격력 0,수비력 800
EM 다그 대거맨,땅,레벨 5,[전사족/펜듈럼/효과],공격력 2000,수비력 600
Em 데미지 저글러,빛,레벨 4,[마법사족/효과],공격력 1500,수비력 1000
EM 도라고양이,땅,레벨 1,[야수족/펜듈럼/효과],공격력 100,수비력 100
EM 도크로배트 조커,어둠,레벨 4,[마법사족/펜듈럼/효과],공격력 1800,수비력 100
EM 드라고 리모라,물,레벨 4,[드래곤족/펜듈럼/효과],공격력 1700,수비력 1000
EM 드러밍 콩,땅,레벨 5,[야수족/펜듈럼/효과],공격력 1600,수비력 900
EM 디스커버 히포,땅,레벨 3,[야수족/효과],공격력 800,수비력 800
EM 라 팬더,땅,레벨 3,[야수족/펜듈럼/효과],공격력 800,수비력 800
EM 라이프 스워드맨,빛,레벨 1,[전사족/효과],공격력 0,수비력 0
EM 락다운,땅,레벨 4,[야수족/펜듈럼/효과],공격력 800,수비력 1800
EM 래디시 호스,땅,레벨 4,[식물족/펜듈럼/효과],공격력 500,수비력 2000
EM 래프메이커,빛,레벨 8,[마법사족/펜듈럼/효과],공격력 2500,수비력 2000
EM 레 벨맨,빛,레벨 6,[천사족/펜듈럼/효과],공격력 100,수비력 2600
EM 레뷰 댄서,빛,레벨 3,[마법사족/효과],공격력 800,수비력 1000
EM 레이디앙쥬,빛,레벨 3,[천사족/펜듈럼/효과],공격력 1000,수비력 1500
EM 레인고트,물,레벨 1,[야수족/효과],공격력 0,수비력 0
EM 롱폰 불,땅,레벨 4,[야수족/효과],공격력 1600,수비력 1200
EM 리저드로우,땅,레벨 3,[파충류족/펜듈럼/효과],공격력 1200,수비력 600
EM 리턴탕탕,땅,레벨 2,[야수족/펜듈럼/효과],공격력 400,수비력 600
EM 맘모스플래시,물,레벨 6,[야수족/펜듈럼/효과],공격력 1900,수비력 2300
EM 멍키보드,땅,레벨 6,[야수족/펜듈럼/효과],공격력 1000,수비력 2400
EM 모몬카펫,땅,레벨 3,[야수족/펜듈럼/리버스/효과],공격력 1000,수비력 100
Em 미러 컨덕터,빛,레벨 4,[마법사족/펜듈럼/효과],공격력 600,수비력 1400
EM 미스 디렉터,어둠,레벨 6,[마법사족/튜너/효과],공격력 0,수비력 2000
EM 바라드,땅,레벨 3,[식물족/펜듈럼/효과],공격력 500,수비력 1100
EM 바라쿠다,땅,레벨 3,[식물족/펜듈럼/효과],공격력 500,수비력 1100
EM 바록크리보,어둠,레벨 8,[악마족/펜듈럼/효과],공격력 300,수비력 3000
EM 반딧불스,빛,레벨 4,[곤충족/펜듈럼/효과],공격력 1200,수비력 1600
EM 버블도그,땅,레벨 6,[야수족/펜듈럼/효과],공격력 2300,수비력 1000
EM 베리어벌룬 바쿠,바람,레벨 6,[야수족/효과],공격력 1000,수비력 2000
EM 보트아이즈 리저드,땅,레벨 4,[파충류족/효과],공격력 1600,수비력 1200
EM 빅바이트터틀,물,레벨 3,[파충류족/펜듈럼/효과],공격력 800,수비력 1200
EM 세컨동키,땅,레벨 4,[야수족/효과],공격력 1000,수비력 2000
EM 스마일 매지션,빛,레벨 8,[마법사족/펜듈럼/효과],공격력 2500,수비력 2000
EM 스워드 피시,물,레벨 2,[어류족/효과],공격력 600,수비력 600
EM 스카이 매지션,바람,레벨 7,[마법사족/효과],공격력 2500,수비력 2000
EM 스카이 퓨필,빛,레벨 3,[마법사족/효과],공격력 800,수비력 800
Em 스틸츠 슈터,땅,레벨 6,[마법사족/효과],공격력 2200,수비력 0
EM 스파이크 이글,바람,레벨 2,[비행야수족/효과],공격력 900,수비력 900
EM 스프링구스,바람,레벨 5,[비행야수족/효과],공격력 1100,수비력 2400
EM 슬라이핸드 매지션,빛,레벨 7,[마법사족/효과],공격력 2500,수비력 2000
EM 시소메뚜기,땅,레벨 4,[곤충족/효과],공격력 100,수비력 1200
EM 실버 크로우,어둠,레벨 4,[야수족/펜듈럼/효과],공격력 1800,수비력 700
EM 씰 일,물,레벨 1,[어류족/펜듈럼/효과],공격력 100,수비력 100
EM 아멘보트,물,레벨 4,[곤충족/효과],공격력 500,수비력 1600
EM 엑스트라 슈터,어둠,레벨 3,[마법사족/펜듈럼/효과],공격력 800,수비력 1100
EM 오드아이즈 디졸버,어둠,레벨 8,[마법사족/펜듈럼/효과],공격력 2000,수비력 2600
EM 오드아이즈 라이트피닉스,빛,레벨 5,[비행야수족/펜듈럼/효과],공격력 2000,수비력 1000
EM 오드아이즈 미노타우로스,어둠,레벨 4,[야수전사족/펜듈럼/효과],공격력 1200,수비력 1600
EM 오드아이즈 버틀러,어둠,레벨 5,[마법사족/펜듈럼/효과],공격력 1000,수비력 2100
EM 오드아이즈 불릿,빛,레벨 1,[마법사족/펜듈럼/효과],공격력 100,수비력 200
EM 오드아이즈 싱크론,어둠,레벨 2,[마법사족/펜듈럼/튜너/효과],공격력 200,수비력 600
EM 오드아이즈 유니콘,빛,레벨 1,[야수족/펜듈럼/효과],공격력 100,수비력 600
EM 오드아이즈 프리스트,어둠,레벨 6,[마법사족/펜듈럼/효과],공격력 100,수비력 1800
EM 오홍의 마술사,빛,레벨 1,[마법사족/펜듈럼/효과],공격력 100,수비력 100
EM 올커버 히포,땅,레벨 3,[야수족/효과],공격력 800,수비력 800
EM 윔 위치,어둠,레벨 3,[마법사족/펜듈럼/효과],공격력 800,수비력 800
EM 윕 바이퍼,땅,레벨 4,[파충류족/효과],공격력 1700,수비력 900
EM 유골렘,어둠,레벨 4,[악마족/펜듈럼/효과],공격력 1600,수비력 1000
EM 유니,빛,레벨 4,[야수전사족/효과],공격력 800,수비력 1500
EM 잉코러스,바람,레벨 3,[비행야수족/펜듈럼/효과],공격력 500,수비력 500
EM 젠틀루드,어둠,레벨 4,[악마족/펜듈럼/효과],공격력 1500,수비력 1000
EM 진라이노,빛,레벨 3,[암석족/효과],공격력 200,수비력 1800
EM 집주인소라게,물,레벨 5,[물족/펜듈럼/효과],공격력 500,수비력 2500
EM 천공의 마술사,어둠,레벨 4,[마법사족/펜듈럼/효과],공격력 1500,수비력 1000
EM 체인지라프,땅,레벨 1,[야수족/펜듈럼/효과],공격력 100,수비력 500
EM 치어몰,땅,레벨 2,[야수족/펜듈럼/효과],공격력 600,수비력 1000
EM 카드 가드너,땅,레벨 3,[암석족/펜듈럼/효과],공격력 1000,수비력 1000
EM 카레이드스콜피온,빛,레벨 6,[곤충족/펜듈럼/효과],공격력 100,수비력 2300
EM 콘,빛,레벨 3,[야수전사족/효과],공격력 600,수비력 1000
EM 크리보더,어둠,레벨 1,[악마족/효과],공격력 300,수비력 200
EM 클래식크리보,어둠,레벨 1,[악마족/펜듈럼/효과],공격력 300,수비력 200
EM 클레이브레이커,땅,레벨 6,[전사족/효과],공격력 2000,수비력 1000
EM 킹베어,땅,레벨 6,[야수전사족/펜듈럼/효과],공격력 2200,수비력 1000
EM 턴트루퍼,빛,레벨 4,[전사족/효과],공격력 1200,수비력 1200
EM 트램펄링크스,땅,레벨 2,[야수족/펜듈럼/효과],공격력 300,수비력 300
EM 트럼프 걸,어둠,레벨 2,[마법사족/펜듈럼/효과],공격력 200,수비력 200
EM 트럼프 위치,어둠,레벨 1,[마법사족/펜듈럼/효과],공격력 100,수비력 100
Em 트릭 크라운,빛,레벨 4,[마법사족/효과],공격력 1600,수비력 1200
EM 파이어 머플라이오,화염,레벨 3,[야수족/펜듈럼/효과],공격력 800,수비력 800
EM 파트나가,땅,레벨 5,[파충류족/펜듈럼/효과],공격력 500,수비력 2100
EM 펜듈럼 매지션,땅,레벨 4,[마법사족/펜듈럼/효과],공격력 1500,수비력 800
Em 프레임 이터,화염,레벨 4,[마법사족/효과],공격력 1200,수비력 1600
EM 프렌동키,땅,레벨 3,[야수족/효과],공격력 1600,수비력 600
EM 플러스터틀,물,레벨 4,[물족/효과],공격력 100,수비력 1800
EM 해머맘모,땅,레벨 6,[야수족/효과],공격력 2600,수비력 1800
EM 핸사무라이거,땅,레벨 4,[야수전사족/효과],공격력 1800,수비력 400
Em 햇트릭커,땅,레벨 4,[마법사족/효과],공격력 1100,수비력 1100
EM 헤이타이거,땅,레벨 4,[야수전사족/효과],공격력 1700,수비력 500
EM 헬프린세스,어둠,레벨 4,[전사족/효과],공격력 1200,수비력 1200
EM 활메뚜기,땅,레벨 4,[곤충족/효과],공격력 1500,수비력 1000
EM 희대의 듀얼리스트,빛,레벨 4,[마법사족/펜듈럼/효과],공격력 1800,수비력 400
Em 히구루미,화염,레벨 4,[마법사족/펜듈럼/효과],공격력 1000,수비력 1000
Evil★Twins 키스킬 리일라,어둠,레벨 8,[악마족/특수 소환/효과],공격력 2200,수비력 2200
F.A. 다크니스마스터,어둠,레벨 7,[기계족/특수 소환/효과],공격력 0,수비력 2000
F.A. 소닉마이스터,바람,레벨 4,[기계족/효과],공격력 0,수비력 1000
F.A. 윕크로서,바람,레벨 4,[기계족/효과],공격력 0,수비력 1000
F.A. 카네비게이터,바람,레벨 1,[기계족/튜너/효과],공격력 0,수비력 0
F.A. 터보차저,바람,레벨 6,[기계족/효과],공격력 0,수비력 1500
F.A. 행온마하,바람,레벨 4,[기계족/효과],공격력 0,수비력 1800
Ga－P.U.N.K. 와곤,땅,레벨 3,[사이킥족/튜너/효과],공격력 900,수비력 600
GO－DDD 신령왕 제로갓 레이지,어둠,레벨 10,[악마족/펜듈럼/효과],공격력 0,수비력 0
G·B·헌터,땅,레벨 4,[전사족/효과],공격력 1200,수비력 2000
G·코잣키,어둠,레벨 4,[악마족/효과],공격력 2500,수비력 2400
G골렘 록해머,땅,레벨 6,[사이버스족/효과],공격력 1800,수비력 2400
G골렘 페불도그,땅,레벨 2,[사이버스족/효과],공격력 300,수비력 1000
G전대 샤인블랙,땅,레벨 4,[곤충족/일반],공격력 2000,수비력 0
H·C 강습의 할베르트,땅,레벨 4,[전사족/효과],공격력 1800,수비력 200
H·C 너클 나이프,땅,레벨 1,[전사족/효과],공격력 600,수비력 200
H·C 더블 랜스,땅,레벨 4,[전사족/효과],공격력 1700,수비력 900
H·C 모닝 스타,땅,레벨 4,[전사족/효과],공격력 1500,수비력 1300
H·C 사우전드 블레이드,땅,레벨 4,[전사족/효과],공격력 1300,수비력 1100
H·C 스워드 실드,땅,레벨 4,[전사족/효과],공격력 0,수비력 2000
H·C 스파르타스,땅,레벨 4,[전사족/효과],공격력 1600,수비력 1000
H·C 앰버시 솔저,땅,레벨 1,[전사족/효과],공격력 0,수비력 0
H·C 야습의 칸델라르,땅,레벨 4,[전사족/효과],공격력 1200,수비력 300
H·C 엑스트라 스워드,땅,레벨 4,[전사족/효과],공격력 1000,수비력 1000
H·C 워 해머,땅,레벨 6,[전사족/효과],공격력 2100,수비력 1300
H·C 클래스프 나이프,땅,레벨 1,[전사족/효과],공격력 300,수비력 100
Jo－P.U.N.K.Mme. 스파이더,땅,레벨 3,[사이킥족/튜너/효과],공격력 900,수비력 600
KA－2 데스 시저스,어둠,레벨 4,[기계족/효과],공격력 1000,수비력 1000
Kozmo－그린돌,빛,레벨 4,[사이킥족/효과],공격력 1800,수비력 1000
Kozmo－다크 로즈,어둠,레벨 4,[사이킥족/효과],공격력 1900,수비력 300
Kozmo－다크 엘파이버,어둠,레벨 5,[사이킥족/효과],공격력 2200,수비력 1800
Kozmo－다크시미터,어둠,레벨 8,[기계족/효과],공격력 3000,수비력 1800
Kozmo－다크이클립서,어둠,레벨 9,[기계족/효과],공격력 3000,수비력 2600
Kozmo－다크플래닛,어둠,레벨 10,[기계족/특수 소환/효과],공격력 4000,수비력 4000
Kozmo－델타셔틀,어둠,레벨 5,[기계족/효과],공격력 2000,수비력 2000
Kozmo－도그파이터,어둠,레벨 6,[기계족/효과],공격력 2000,수비력 2400
Kozmo－도롯셀,빛,레벨 3,[사이킥족/효과],공격력 1500,수비력 1000
Kozmo－랜드워커,어둠,레벨 6,[기계족/효과],공격력 2400,수비력 1200
